ParticipantID,Group,Age,Gender,PairOrder,TimesInitialCirclesAttempted,InitialFigTopology,CorrectJudgement,CounterexampleTopology,InvalidValid,TranslatedOrScaled,CircleChanged,CircleChangedConstraints,InferenceType
P8,Adult,19.19,M,V6 V2 V4 IVL2 V1 IVNL2 IVL3 V5 IVNL3 V3 IVL1 IVNL1,1,Crossing,0,Crossing,Invalid,Scaled,Small,Least,IV2
P9,Adult,20.58,F,IVNL2 V4 V2 IVL2 IVL3 V1 V3 IVNL1 IVNL3 V6 IVL1 V5,1,Fully inside,1,Crossing,Invalid,Scaled,Small,Most,IV2
P10,Adult,20.65,F,IVL3 V5 IVL2 V6 V2 V1 IVNL2 V4 IVL1 IVNL3 V3 IVNL1,1,Crossing,0,Crossing,Invalid,None,None,None,IV2
P11,Adult,19.8,F,V1 IVL2 IVL1 V4 IVNL3 V5 IVNL1 IVL3 IVNL2 V3 V6 V2,1,Fully inside,1,Crossing,Invalid,Translated,Big,Least,IV2
P12,Adult,23.55,M,IVNL1 V1 V3 V5 V2 IVL2 IVL1 V6 IVL3 IVNL2 V4 IVNL3,1,Fully inside,0,Fully inside,Invalid,None,None,None,IV2
P14,Adult,48.82,F,IVL3 V4 V1 V2 IVNL3 IVNL1 IVL2 V3 IVL1 V5 IVNL2 V6,1,Crossing,0,Crossing,Invalid,None,None,None,IV2
P15,Adult,53,M,IVL3 V6 IVNL1 V5 V3 V1 V4 IVNL3 IVL1 IVL2 IVNL2 V2,1,Fully inside,1,Crossing,Invalid,Translated,Big,Least,IV2
P16,Adult,19.05,M,IVNL2 V6 IVL1 IVNL1 IVL3 V4 V2 V3 V1 IVNL3 V5 IVL2,1,Crossing,0,Crossing,Invalid,None,None,None,IV2
P17,Adult,21.46,M,V3 V4 V5 V2 IVL2 V1 IVL3 IVNL3 IVNL2 IVL1 V6 IVNL1,1,Crossing,1,Fully inside,Invalid,Scaled,Both,Both,IV2
P19,Adult,30.98,M,IVL1 V6 V3 V1 IVNL3 IVL2 V4 V5 IVNL1 V2 IVNL2 IVL3,1,Crossing,1,Fully inside,Invalid,Both,Circles same size,Least,IV2
P20,Adult,20.2,F,IVL1 V4 V6 V5 IVNL3 IVL3 V2 V3 IVL2 V1 IVNL1 IVNL2,1,Crossing,0,Crossing,Invalid,None,None,None,IV2
P21,Adult,20.73,F,V1 IVNL3 V5 V3 V6 IVNL2 IVL3 IVL2 IVNL1 V4 V2 IVL1,1,Crossing,0,Crossing,Invalid,None,None,None,IV2
P22,Adult,20.38,F,IVL1 V1 V2 V6 V4 IVNL1 IVNL3 IVL3 IVNL2 IVL2 V5 V3,1,Crossing,0,Crossing,Invalid,Both,Circles same size,Least,IV2
P23,Adult,20.56,M,V2 IVNL1 IVL3 IVL2 V1 IVNL3 V5 V4 IVL1 IVNL2 V3 V6,1,Fully inside,1,NA,Invalid,NA,NA,NA,IV2
P24,Adult,21.49,F,V5 IVL3 IVNL3 IVNL2 IVL1 V3 V4 IVNL1 V1 IVL2 V6 V2,1,Crossing,0,NA,Invalid,NA,NA,NA,IV2
P25,Adult,22.5,M,V3 V5 IVNL2 V4 IVNL3 V2 IVL3 V1 IVL1 V6 IVL2 IVNL1,1,Fully inside,0,Fully inside,Invalid,Scaled,Big,Least,IV2
P27,Adult,20.3,Non-binary,IVL2 V1 V4 V5 IVNL3 V6 V3 IVNL2 V2 IVNL1 IVL3 IVL1,1,Crossing,0,Crossing,Invalid,Translated,Both,Both,IV2
P28,Adult,21.99,F,V5 IVL2 IVL1 IVNL3 V4 IVL3 IVNL1 V2 V6 IVNL2 V3 V1,1,Crossing,1,NA,Invalid,NA,NA,NA,IV2
P29,Adult,24.5,Prefer not to answer,V3 IVNL1 IVL2 V6 IVNL3 V2 V4 V5 V1 IVNL2 IVL3 IVL1,1,Crossing,1,Fully inside,Invalid,Scaled,Both,Both,IV2
P30,Adult,19.2,F,IVL3 V1 IVNL3 V5 IVL1 IVNL2 V4 IVL2 V6 IVNL1 V2 V3,1,Crossing,0,Crossing,Invalid,None,None,None,IV2
P31,Adult,20.58,F,V6 V5 IVL1 IVNL2 IVNL1 V4 IVL3 V1 V2 V3 IVNL3 IVL2,1,Crossing,0,Crossing,Invalid,None,None,None,IV2
P32,Adult,18.73,F,V1 IVNL2 V4 IVL1 IVL3 V5 V2 V3 V6 IVNL1 IVL2 IVNL3,1,Crossing,0,Crossing,Invalid,Translated,Circles same size,Most,IV2
P33,Adult,19.75,M,V6 V5 IVL2 V2 IVNL2 V3 V1 IVL1 IVNL3 IVNL1 V4 IVL3,1,Fully inside,0,Crossing,Invalid,Translated,Small,Most,IV2
P34,Adult,23.17,Non-binary,IVNL3 IVL3 IVNL1 V1 IVL2 V2 V5 V3 V6 V4 IVL1 IVNL2,1,Crossing,0,NA,Invalid,NA,NA,NA,IV2
P35,Adult,22.83,F,IVL2 V1 V6 IVL3 IVL1 V2 IVNL1 V3 IVNL2 IVNL3 V5 V4,2,Crossing,1,Crossing,Invalid,None,None,None,IV2
P36,Adult,20.02,M,IVL2 IVL3 V1 V4 V2 V5 IVL1 IVNL2 V3 IVNL3 V6 IVNL1,1,Crossing,0,Fully inside,Invalid,Both,Big,Most,IV2
P37,Adult,21.14,M,IVNL1 V5 IVNL2 IVL1 V1 V3 IVL3 IVNL3 V4 V6 V2 IVL2,1,Crossing,1,Fully inside,Invalid,Scaled,Circles same size,Least,IV2
P38,Adult,22.03,F,IVNL1 IVL2 IVNL3 V5 V2 IVNL2 IVL1 V6 V3 IVL3 V1 V4,1,Crossing,0,NA,Invalid,NA,NA,NA,IV2
P39,Adult,20.21,F,IVNL3 V1 IVNL1 V6 V5 V3 V4 IVL3 IVL1 IVL2 IVNL2 V2,1,Fully inside,1,Crossing,Invalid,Both,Both,Both,IV2
P40,Adult,21.82,F,IVL2 IVNL3 V1 V6 V2 IVNL1 V5 IVL3 V3 V4 IVL1 IVNL2,1,Crossing,0,Fully inside,Invalid,Scaled,Big,Least,IV2
P41,Adult,21.61,M,V2 V1 IVNL1 IVNL2 V4 V5 IVNL3 IVL3 IVL1 V3 V6 IVL2,1,Crossing,0,Crossing,Invalid,Scaled,Big,Most,IV2
C1,Children,10.98333333,M,V6 IVNL3 V1 IVL1 V2 IVNL1 V4 IVL3 V3 V5 IVNL2 IVL2,1,Fully inside,1,Crossing,Invalid,Scaled,Small,Most,IV2
C2,Children,10.75833333,F,V6 IVNL3 IVL2 V2 IVL3 V4 V3 IVNL2 IVL1 V1 IVNL1 V5,1,Fully inside,0,Crossing,Invalid,Translated,Big,Least,IV2
C3,Children,10.75833333,F,IVL1 V4 V3 V6 V5 IVNL1 IVNL3 IVL3 V2 V1 IVL2 IVNL2,1,Crossing,1,Fully inside,Invalid,Scaled,Circles same size,Least,IV2
C4,Children,10.75833333,M,V5 V6 V1 V3 IVL3 IVNL2 V4 IVNL1 IVL2 V2 IVL1 IVNL3,1,Fully inside,1,Crossing,Invalid,Scaled,Small,Most,IV2
C5,Children,9.472222222,F,IVL2 V5 V3 IVNL1 V6 V4 V1 IVNL2 V2 IVL3 IVL1 IVNL3,1,Crossing,0,NA,Invalid,NA,NA,NA,IV2
C6,Children,8.055555556,F,IVNL3 IVNL1 V5 IVNL2 V4 V2 V6 IVL1 IVL3 V3 V1 IVL2,1,Crossing,1,Fully inside,Invalid,Scaled,Circles same size,Least,IV2
C7,Children,10.925,F,V3 IVNL2 V1 IVL2 V5 V2 IVNL1 V6 V4 IVNL3 IVL3 IVL1,1,Crossing,0,Crossing,Invalid,None,None,None,IV2
C8,Children,10.71944444,M,IVNL1 V1 IVL1 V3 IVL3 IVNL2 V2 V4 IVL2 IVNL3 V5 V6,1,Crossing,0,Crossing,Invalid,None,None,None,IV2
C9,Children,10.16944444,F,IVL1 V1 IVNL3 V4 V2 V5 IVL2 V6 IVNL1 IVL3 IVNL2 V3,1,Crossing,0,Crossing,Invalid,None,None,None,IV2
C10,Children,10.80277778,M,IVNL2 V3 V4 V5 IVL3 IVL1 IVNL1 IVNL3 V6 V2 V1 IVL2,1,Crossing,0,Crossing,Invalid,Scaled,Big,Least,IV2
C11,Children,8.083333333,M,IVL2 IVNL2 IVNL3 V3 V4 V5 IVL3 V6 IVL1 IVNL1 V2 V1,2,Fully inside,1,Crossing,Invalid,Both,Both,Both,IV2
C12,Children,8.083333333,M,V2 IVL1 IVNL2 IVL2 IVNL3 IVL3 V1 IVNL1 V3 V6 V4 V5,1,Crossing,NA,Crossing,Invalid,None,None,None,IV2
C13,Children,8.413888889,M,V1 IVL2 IVNL2 V6 IVNL1 V3 V4 V2 IVNL3 IVL3 IVL1 V5,1,Crossing,1,Fully inside,Invalid,Scaled,Small,Most,IV2
C14,Children,8.186111111,F,V3 V4 V2 IVL1 IVNL3 V1 V6 V5 IVNL1 IVL2 IVNL2 IVL3,1,Fully inside,0,NA,Invalid,NA,NA,NA,IV2
C15,Children,9.991666667,F,V5 IVL3 IVNL2 V3 V4 IVL2 IVNL1 V6 V1 IVL1 V2 IVNL3,1,Crossing,0,Crossing,Invalid,Scaled,Big,Most,IV2
C17,Children,8.483333333,F,V2 V3 V1 V5 IVL2 IVL3 IVNL2 IVL1 V4 IVNL3 IVNL1 V6,1,Crossing,0,Crossing,Invalid,None,None,None,IV2
C18,Children,8.344444444,M,IVNL3 IVL2 V3 V4 V2 V6 IVL3 IVL1 V5 V1 IVNL2 IVNL1,1,Crossing,1,Fully inside,Invalid,Scaled,Circles same size,Most,IV2
C19,Children,8.325,M,IVL2 V3 IVNL3 V2 V5 V4 V6 IVL1 IVNL2 IVL3 IVNL1 V1,2,Fully inside,NA,NA,Invalid,NA,NA,NA,IV2
